sentence_start,llama2,llama3,mistral,Aadarsh,Ashlin,Kuldeep,Maryam,Nate,Riley,Spencer,winner
"It is expected that both ecological and social compensation measures improve the overall acceptance of a local infrastructure, thus anchoring the latter within the surrounding community.",911.7528553230993,1069.140508514439,1037.0102416553123,1034.104690757306,1034.6719778441407,1051.9362358077474,917.4009858091757,900.8054847261598,1069.6397932046098,973.5372263580094,Riley
"The prompt acceleration of food aid pledges and deliveries once the media story on the famine broke, even though the worst of the crisis was over by then, and the poorer response to non-food emergency needs, which received less press attention, lends weight to another familiar hypothesis: that one of these non-humanitarian criteria is media pressure.",1029.5299777565742,970.329772333541,1031.5155722440907,892.2853525708886,1116.1092986226447,1002.822997536376,1007.978251844382,893.2674561255118,1029.4674553782397,1026.6938655877516,Ashlin
Some men were hesitant to assist with household chores because they believed it would create an expectation of ongoing involvement with chores after pregnancy.,1024.8523543549816,891.7098464240718,952.2466846505456,915.1939391552768,1013.8441117644471,1030.654965551664,1074.018800279903,1072.2513490542726,987.6442399704937,1037.5837087943441,Maryam
Pastoralists in the arid and semi-arid regions of Mali continue to face increasing risk due to low levels of rainfall.,1015.6360743267453,1047.5523813540797,1043.942990029855,930.7724954355597,1045.7820438187216,988.867714105341,1061.5029904840894,888.8540414630068,1008.5187454308125,968.5705235517898,Maryam
"The recent investment in improving existing roads that connect administrative centres to regional capitals, combined with the advance in use of mobile phone communications, have facilitated the development of new and efficient cereal trade routes and reduced marketing margins.",900.1947165366357,918.8439273970453,922.9478555801381,1080.4434756759654,956.0089242672426,1056.1124679735494,1018.7337686270758,1057.6052677982311,1098.6362412230571,990.4733549210596,Riley
"Wind turbine foundations may act as artificial reefs, which could increase both the number of shellfish and the animals that feed on them, including other fish and marine mammals.",878.5376288196815,956.446691889083,975.4994044206521,1029.8752744919886,1016.2083131816245,1108.0907824650808,931.8914053243496,1009.1440323383761,1076.6566004273366,1017.6498666418266,Kuldeep
"However, wars have been waged to reduce demographic pressures arising from the scarcity of arable land, the clearest example being the move to acquire Lebensraum (living space) that motivated Nazi Germany aggression toward Poland and Eastern Europe.",945.2603183572503,892.7304607085446,1001.9927047593076,986.9774244286133,1073.5252249709908,904.7965536238553,1117.2454704406691,987.2089706129875,1089.9432630863464,1000.3196090114352,Maryam
"The direct and indirect effects from offshore wind farm development have been less well documented, but they include similar risks to bird and bat collisions; disruption of marine mammal corridors as well as harm to marine mammals, fish, and sea turtles from construction of bottom-mounted turbine towers; the potential for scour and sediment resuspension around the foundations of bottom-mounted wind turbines; and some evidence of displacement or barrier effects because of the presence of large offshore wind farms.",958.5325215012293,890.639908968218,892.1920458003272,1100.5992980680799,1016.6079884605997,1088.09365418379,1038.7494229688184,1014.7314156387824,1041.7386997806639,958.1150446294912,Aadarsh
"The study shows that the cultivation of crops, a critical aspect of food security, is gravely under threat given low cultivation of crops as a result of BH atrocities.",1059.5918557225816,996.9278054026196,969.1390945788925,1023.3419826709006,1057.836703184814,1071.422562420837,982.754543305629,874.2198295715474,906.2254960369104,1058.540127105268,Kuldeep
"Various sources attest that elevated mortality stemming from conflict is due more to population displacement, deficiencies of clean water and sanitation, exposure to disease, and public-health failures rather than to direct blows from violence.",910.2911096291014,914.1469344092043,918.7807107200697,1064.497772608454,1053.87804902691,984.2611928813415,1123.2411459093603,1015.0712010571416,999.6602336808593,1016.1716500775576,Maryam
Civilians may also expand agricultural production due to cuts in a stable food supply.,984.8131248319271,1032.068294555512,979.9763823477379,986.2074638784454,1018.2395766693458,998.8363929704415,984.0,998.6565414399497,1004.101775879928,1013.1004474267124,llama3
"The failure of programmes to reintegrate people into production implemented in the 1990s within the framework of the implementation of the 1992 Peace Accords forced many former combatants to resort to criminal and antisocial behaviour. As we have pointed out elsewhere (1996), the failure of these programmes has to do with the fact that in spite of the majority of them targeting farming, the serious structural crisis the agricultural sector was undergoing was underestimated in their design and implementation.",894.1186703577303,971.1498245053484,988.2811343587496,996.722884072894,973.8128435259918,1053.9278022007602,1093.4007011033896,893.2597360577626,1094.7641316093298,1040.5622722080436,Riley
"On the supply side, both Huthi/Saleh forces and the Hadi government and its Saudi-led coalition allies repeatedly have hindered the movement of aid and commercial goods to the population. Huthi/Saleh violations are most egregious in the city of Taiz, where their fighters have enforced a full or partial blockade since 2015, with devastating humanitarian consequences. They routinely interfere with the work of humanitarians, at times demanding the diversion of aid to themselves or denying aid workers access to populations in need, revoking visas or even detaining them. They heavily tax all imports into their areas in part to finance the war effort and also run a black market in fuel, enriching military elites while driving prices up for transport of vital commodities.",959.6163167658555,907.0497532434567,918.2648377517388,973.9344117481098,1018.0318787377828,1093.988418945522,1070.0799428113644,1066.361940464067,1012.5804635226964,980.0920360094067,Kuldeep
"Increased grievances against the state, when agricultural deficits at the state level result in losses of tax revenues and higher food prices.",895.5035776193954,1065.1433829209814,1029.2987206811424,949.7358970076077,1031.3154524298097,969.0680052143118,984.6157508603295,1070.535423315143,1093.562901943932,911.2208880073475,Riley
Borrowing food was observed to be the first step to mitigate the adverse effect of food insecurity at the household level in Yemen.,942.2069419784159,902.3526897795705,928.3131799508117,955.7227374392396,1083.5547085441392,1001.7859813147024,1069.965455216302,1060.2139850686829,1030.1039420971583,1025.7803786109776,Ashlin
"ASHA must tell the woman during pregnancy so that the woman must have that information with her. So, as soon as the child takes birth he/she will be fed with colostrum which will prevent the child from diseases.",878.0690191267349,967.8521701872575,932.1824471961605,1071.0767467031828,989.8614579111147,1036.935746135448,976.4819481798517,1026.7866282055554,1026.1206469828728,1094.6331893718216,Spencer
"For me, when I got married and my wife was pregnant, I registered her in general hospital, and also in a traditional Centre. Because my understanding is that, there are medications in the hospital and also another type of medications from the traditional.",1010.8599273389854,1080.5120143194802,1038.5079989471838,1017.9996602510944,909.1149766430061,997.6406139589149,927.7589945689036,929.6351442040041,1083.6449496458454,1004.3257201225824,Riley
"Even, we do not want to be uncovered so that our private parts do not be seen.",992.6743674362267,1009.2261395964202,1043.5324326475184,949.9872163879035,890.0168973092509,999.9295681539624,1032.7409970659673,992.3643901889318,1065.8284161947868,1023.6995750190308,Riley
"The use of contraception was linked vicariously to promiscuity: Promiscuous women were linked to the use of contraception, multiple abortions and disease or infections.",903.8647101845482,921.50793515836,890.6478004233891,996.9827574708879,1036.9564245955478,1085.1890599707262,1037.8978559387535,1057.3652873466679,1044.2821237335636,1025.3060451775561,Kuldeep
I had vaginal discharge four months ago and I used a traditional medicine it stopped.,1013.8727418739807,1015.4367772154957,1042.175442282655,915.847700958253,878.9690545365465,1027.203236424515,1026.6482581574844,1025.1560001524772,1044.394993484789,1010.2957949138035,Riley
