tgt,challenges in licensing compliance,climate change awareness among fishers,community action during regulations or licensing issues,community solidarity during disasters,conflicts between fishers and managers,dependence on coral reefs,dependency on fisheries for livelihood,fisher understanding of decision-making,fishermen are not united,fishermen's fear of corruption,fishers' concern about environmental changes,government officials' decisions,government's abandonment,interest in forming associations,lack of government support,lack of local fishery office in Vieques,perception of unfair management decisions,regulations and bans (vedas),rules affecting fishers
acceptance of management decisions,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
availability of lobster and conch,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
community capacity to address problems,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community cooperation in fishery management,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
fisher cooperation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisher license compliance,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisher license coverage,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisher trust in management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
fisheries access and flexibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
fisheries conflict resolution,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisheries management effectiveness,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
fisheries management efficiency in Vieques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
fisheries productivity and fishers' income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
fisheries service accessibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
fisheries service accessibility for Vieques fishers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
fisheries sustainability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
fishermen's interest in forming associations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fishers' concern about climate change,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
fishers' concern about environmental changes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interest in forming associations,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
presence of more algae or new algae species,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
regulations and restrictions on fishing activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
reliance on fishing activities,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
